latitude,longitude
41.8013279,-87.69815482
41.8071764,-87.72357217
41.8031528,-87.61952663
41.89413383,-87.71783304
41.6907326,-87.62400318
41.76533868,-87.65045392
41.92824261,-87.64578532
41.81611172,-87.59935812
41.7102447,-87.61261879
41.69729725,-87.63409005
41.71299812,-87.5678669
41.72176344,-87.62535986
41.99682993,-87.69395475
41.81232085,-87.63262064
41.83684379,-87.72555756
41.80967441,-87.59415622
41.75459296,-87.74152854
41.90930707,-87.80576669
41.99475899,-87.71337718
41.77270242,-87.72249915
41.93318289,-87.80658065
42.01412619,-87.80660875
41.75719514,-87.56746803
41.89301737,-87.7617181
42.01029631,-87.69818641
41.68393824,-87.72179243
41.65678703,-87.5974403
41.67135485,-87.64038395
41.73625998,-87.62806878
41.72036739,-87.53649517
41.8596271,-87.65741079
41.81072902,-87.60172605
41.83070142,-87.62021144
41.80046498,-87.72350236
41.90947846,-87.79492409
41.73691102,-87.7409581
41.9131579,-87.80591133
41.66396068,-87.63443964
41.82165374,-87.69302834
41.92165357,-87.65916358
42.01118684,-87.69081863
41.82029226,-87.60988944
41.72235461,-87.58427845
41.77860655,-87.68982853
41.78032836,-87.7187278
42.01847793,-87.68774064
41.96766336,-87.77737934
41.93003336,-87.80576818
41.73688109,-87.54582512
41.69191448,-87.64236273
41.75320415,-87.73040747
41.96194106,-87.71452083
41.92364622,-87.7925305
41.72096673,-87.68020688
41.83037359,-87.6761465
41.77713925,-87.76303025
41.77919694,-87.61163858
41.72861474,-87.57429612
41.67903459,-87.6456057
41.77783581,-87.60039601
41.85219211,-87.68073784
41.72317662,-87.61054565
41.85385329,-87.63091491
41.77887716,-87.70928946
41.65668325,-87.61514941
41.71865655,-87.55193982
41.70567778,-87.60094436
41.80923234,-87.70643882
41.91109753,-87.66206031
41.77903256,-87.59916581
41.8368805,-87.64769855
41.70223807,-87.56322069
41.74987655,-87.6828716
41.8841545,-87.67181237
41.76055307,-87.67225672
41.80933197,-87.68834765
41.82824736,-87.69510586
41.65580407,-87.60485271
41.87022851,-87.74780437
41.66816523,-87.6247471
41.8854865,-87.71448126
41.70556472,-87.60722233
41.68261135,-87.65545571
41.68532751,-87.65050055
41.81058572,-87.74819061
41.72133177,-87.65978078
41.83796203,-87.71217141
41.73377164,-87.61931355
41.78231507,-87.59785675
41.72193987,-87.57447456
41.77857369,-87.73165311
41.79513071,-87.67190699
41.73296981,-87.54578209
41.70312707,-87.6572809
41.76325744,-87.59700072
41.78957138,-87.67296551
41.81785741,-87.70188777
41.67170223,-87.63930081
41.86493125,-87.66151467
41.97433331,-87.84277218
41.84211884,-87.63298716
41.85591415,-87.66968822
41.81333143,-87.66615401
41.68265625,-87.6697687
41.68213244,-87.67265211
41.79045943,-87.61749827
41.93094723,-87.78815444
41.87758483,-87.68454173
41.82603553,-87.63269443
41.71841252,-87.64995003
41.69242301,-87.6351133
41.7834091,-87.64329348
41.74378467,-87.68880581
41.708072,-87.56453075
41.74965994,-87.70964359
41.69098401,-87.60517702
41.79794243,-87.61691315
41.73064284,-87.59886577
41.75679802,-87.67088965
41.71770979,-87.56679886
41.69070123,-87.66299825
41.820372,-87.60353483
41.97951883,-87.69244749
41.84680198,-87.62352713
41.93606701,-87.70509063
41.67170287,-87.64902126
41.77754034,-87.79032792
41.96988521,-87.76269009
41.79920435,-87.58800765
41.93895537,-87.73875869
41.9905833,-87.71094875
41.97629041,-87.90522722
41.98287878,-87.79144084
41.78210152,-87.586502
41.81301297,-87.69925362
41.81446716,-87.64146559
41.77754352,-87.78208883
41.83638523,-87.66571041
41.70651504,-87.64524342
41.70276133,-87.53528654
41.97925018,-87.83965884
41.85013665,-87.69145476
41.70607019,-87.6536458
41.83257109,-87.70468577
41.66014993,-87.63775588
41.68816036,-87.61567891
41.72228039,-87.53770759
41.94571197,-87.78238224
41.95390047,-87.9074726
41.86708141,-87.61900371
41.79256897,-87.59810219
41.99493343,-87.6745406
41.78721451,-87.63282629
41.73290057,-87.56468345
41.72701867,-87.6373217
41.67525644,-87.60169569
41.96938944,-87.69747991
41.90979863,-87.65023347
41.76733048,-87.58125842
41.72618999,-87.64577228
42.01504461,-87.66326002
41.86488949,-87.62572832
41.92367262,-87.78630161
41.79747599,-87.6416301
41.80962191,-87.59860613
41.86327623,-87.642053
41.68416044,-87.66269195
41.93388592,-87.77484282
41.95770147,-87.73259777
41.71190596,-87.64054217
41.79118855,-87.69495061
41.88008194,-87.67233922
41.77605199,-87.59727451
41.74027032,-87.5611915
41.75095769,-87.59304182
41.89932778,-87.64793988
41.91431932,-87.72891554
41.9906152,-87.68318858
41.81172465,-87.63893639
41.83364239,-87.64130155
41.79742392,-87.63307382
41.71884442,-87.53770246
41.73831151,-87.58555338
41.78218709,-87.71640146
41.93718996,-87.80021178
41.65257564,-87.61071233
41.95492897,-87.68864652
41.70029767,-87.66937846
41.65291919,-87.5459258
41.7349627,-87.54440514
41.76394413,-87.69661824
41.74904025,-87.57715539
41.87728465,-87.65820529
42.01035047,-87.69593777
41.86621677,-87.62162265
41.73659694,-87.57048794
41.96586076,-87.70105322
41.92623171,-87.6339424
41.76680404,-87.60561968
41.91850381,-87.78651969
41.86633173,-87.66637917
41.72704754,-87.59490239
41.99321083,-87.78398991
41.88544627,-87.70207131
41.68650994,-87.60828781
41.84392222,-87.62684797
41.7457119,-87.68402346
41.69482921,-87.68125627
41.93275184,-87.79182887
41.74362845,-87.62437481
41.7156744,-87.60306524
41.86818094,-87.70927139
41.75285744,-87.71854189
41.73585717,-87.62415286
41.71714974,-87.64066697
41.72573292,-87.55667588
41.6898774,-87.63625837
41.71902307,-87.62052856
41.93087792,-87.79432879
41.92245089,-87.63220629
41.80943387,-87.69790955
41.86221827,-87.63908716
41.79851305,-87.68905075
41.7892647,-87.69001316
41.75480533,-87.67083352
41.8014602,-87.62261774
41.6474468,-87.61635372
41.77291757,-87.56832174
41.6530627,-87.61533115
41.9790063,-87.90646316
41.9419416,-87.68812452
41.94587698,-87.80702755
41.84281499,-87.66088796
41.70586385,-87.5377038
41.66108023,-87.6427802
41.74029666,-87.70559884
41.9411577,-87.64298773
41.88747592,-87.70983099
41.74575751,-87.67181333
41.95033298,-87.77711058
41.81243121,-87.60443062
41.73322663,-87.54436434
41.7063267,-87.65704431
41.86319688,-87.61481782
41.87008644,-87.6664827
41.74743503,-87.67945041
41.68646046,-87.63373474
41.93498166,-87.80493886
41.94207326,-87.7797206
41.97261761,-87.66342174
41.81160693,-87.6751749
41.94648894,-87.71764617
41.72030378,-87.56114583
42.00937898,-87.68250961
41.65913598,-87.60907274
41.71105221,-87.56455299
41.73252552,-87.58393247
41.95357727,-87.73419765
41.93036197,-87.68778161
41.83159121,-87.65184248
41.86956357,-87.74362209
41.74463544,-87.61955221
41.78582725,-87.73303654
41.96359607,-87.72790217
41.77804747,-87.58638773
41.74714857,-87.57877115
41.80832862,-87.6439646
41.75605505,-87.58097271
41.76186153,-87.69213206
41.71117066,-87.66573168
41.72021699,-87.6430967
41.92263512,-87.80621177
41.68638008,-87.61319854
41.93318159,-87.79724998
41.78525379,-87.60603526
41.93604205,-87.73694789
41.98141163,-87.80694103
41.82338163,-87.71259173
41.6719081,-87.628543
41.72323214,-87.60758007
41.78999686,-87.78171915
41.85981528,-87.62397785
41.96426096,-87.77677646
41.72714683,-87.58540306
41.77542973,-87.64075349
41.69204178,-87.66592364
41.65374579,-87.59993756
41.69719201,-87.63528817
41.86523701,-87.6468862
41.77856905,-87.72119853
41.71350841,-87.63936739
41.97773505,-87.79190491
41.77997505,-87.63093738
41.93837371,-87.78194554
41.84017408,-87.71955896
41.92359553,-87.79648615
41.74704138,-87.59173506
41.78788712,-87.58793458
41.71338751,-87.55096232
41.69154391,-87.70078699
41.80729518,-87.59517333
41.68743847,-87.70067448
41.71382178,-87.63695788
41.95353625,-87.73850072
41.72143938,-87.61533341
41.98573127,-87.69925677
41.95222,-87.73393306
41.98082628,-87.88361132
41.79411026,-87.75378443
41.98201789,-87.77320982
41.73083247,-87.59570746
41.837952,-87.61825065
41.83458642,-87.63277795
41.94182141,-87.69066452
41.96416221,-87.67090092
41.68995741,-87.63746062
41.9707542,-87.74866832
41.99029658,-87.71672804
42.00627549,-87.68869529
41.81947207,-87.60818603
41.80171934,-87.63070362
41.79780157,-87.61930073
41.77502167,-87.77720621
41.960293,-87.7827109
41.64960567,-87.535027
41.94672451,-87.69150118
41.70269259,-87.52651009
41.69683753,-87.648072
41.98346116,-87.71134655
41.71879382,-87.65372015
41.97671308,-87.7017199
41.8376179,-87.62185727
41.84407427,-87.6284429
41.73888492,-87.66314515
41.69178116,-87.68117629
41.69046461,-87.66882625
41.81159461,-87.7518185
41.7292154,-87.57674078
41.99607338,-87.78679299
41.92874129,-87.6717283
41.71913756,-87.54924718
41.79429047,-87.6061813
41.82327407,-87.62642495
41.85199283,-87.68888874
41.79760116,-87.62415782
41.86725154,-87.63923536
41.93230067,-87.67689045
41.95427566,-87.66906684
41.7773119,-87.78702544
41.69433351,-87.65271504
42.01763295,-87.69018631
41.97676298,-87.90098372
41.78236654,-87.59308351
42.00211596,-87.69243501
41.82417777,-87.7045229
41.67915455,-87.63953992
41.88499458,-87.71622179
41.72703152,-87.59740557
41.94766409,-87.77019021
41.86347092,-87.7348867
41.82678395,-87.67033483
41.8469223,-87.64680459
41.79077143,-87.63826787
41.99708561,-87.65560155
41.78516123,-87.62057509
41.86373995,-87.67616771
41.78333916,-87.71414059
41.84362067,-87.65288194
41.70123753,-87.60739678
41.74049781,-87.54538536
41.92509811,-87.67229367
41.75938104,-87.63847407
41.79567197,-87.76260066
41.96172253,-87.70092477
41.97249174,-87.75604194
41.74043947,-87.70280235
41.86345726,-87.65205482
42.00188387,-87.69525037
41.83181894,-87.61032506
41.74091899,-87.63196775
41.81682426,-87.69569034
41.93002255,-87.63632018
41.65733484,-87.54713756
41.8035778,-87.58369281
41.72972256,-87.64794227
41.80080441,-87.58448777
41.79097428,-87.59806068
41.94590844,-87.79675694
41.79428959,-87.7716599
41.97216808,-87.7467595
41.77546972,-87.63331464
41.69185479,-87.53890097
41.7026689,-87.63425527
41.68036501,-87.65660333
41.78821825,-87.78165373
41.86421787,-87.70217315
41.80928048,-87.59196703
41.72881361,-87.55753455
41.89399011,-87.70215558
41.7289683,-87.61350581
41.95257487,-87.66159221
41.76442646,-87.64006851
41.71225533,-87.63569291
41.81700841,-87.68714672
41.82563621,-87.68490989
41.76309354,-87.62002433
41.97509979,-87.67909587
41.94410995,-87.8216531
41.74182071,-87.56608672
41.74330296,-87.54669212
41.84238663,-87.6233252
41.69267141,-87.68486858
41.92998848,-87.7757988
41.92200591,-87.80069049
41.68821818,-87.53735791
41.77780035,-87.7714861
41.74194941,-87.61705422
41.90216959,-87.65433977
41.77718551,-87.75999289
41.95090021,-87.68473152
41.72756736,-87.56453089
41.79276559,-87.76068658
41.74654406,-87.62691046
41.71455671,-87.55234449
41.71519963,-87.53527725
41.9589025,-87.78678352
41.81294599,-87.70906099
41.86729655,-87.77292803
41.80169033,-87.70379207
41.92053415,-87.7845675
41.66995923,-87.62835374
41.82457998,-87.64351935
41.97247709,-87.75827189
41.68243293,-87.68472417
41.76156662,-87.70834394
41.7090852,-87.53407815
41.74946001,-87.72089612
41.81268512,-87.71131647
41.74355527,-87.63090573
41.88595852,-87.70480332
41.74588435,-87.596311
41.81039559,-87.74567455
41.99039477,-87.70586113
41.98744296,-87.69322726
41.80351512,-87.74295284
41.71217553,-87.60296836
41.98471011,-87.76832925
41.71123015,-87.59933583
41.93367827,-87.77240666
41.79310609,-87.73293813
41.71200711,-87.61632095
41.81436757,-87.60447654
41.96572205,-87.66703232
41.70592204,-87.6816043
41.97436142,-87.71840377
41.70751943,-87.60183902
41.7758853,-87.631761
41.86133518,-87.62569018
42.00293432,-87.81713303
41.70827227,-87.62594071
